ACTUALNAME,DESTINATIONLOOKUP
PENDURTHI GOVT. JUNIOR COLLEGE,PENDURTHI GOVT. JUNIOR COLLEGE
PENDURTHI MAIN JUNCTION,PENDURTHI MAIN JUNCTION
PF OFFICE,PF OFFICE
PINAGADI JUNCTION,RAMPURAM ROAD
PINAGADI JUNCTION,PINAGADI JUNCTION
PINE APPLE COLONY,PINE APPLE COLONY
PITTAVANIPALEM,PITTAVANIPALEM
PMPALEM CHAITANYA COLLEGE,CARSHED
PMPALEM CHAITANYA COLLEGE,PMPALEM CHAITANYA COLLEGE
POLICE BARRACKS,POLICE BARRACKS
POLIPALLI,POLIPALLI
POLIPALLI JUNCTION,POLIPALLI JUNCTION
PORLUPALEM,PORLUPALEM
PORT GYMKHANA (OLD BUS STAND),PORT GYMKHANA (OLD BUS STAND)
PORT HOSPITAL,PORT HOSPITAL
PORT HOSPITAL (PORT QUARTERS),PORT HOSPITAL (PORT QUARTERS)
PORT HOSPITAL (TOWARDS AKKAYYAPALEM),PORT HOSPITAL
POTHINAMALLAYYA PALEM FIRST STOP (P M PALEM),POTHINAMALLAYYAPALEM (PM PALEM)
POTHINAMALLAYYA PALEM LAST STOP (P M PALEM),POTHINAMALLAYYAPALEM (PM PALEM)
PRAHALADAPURAM,PRAHALADAPURAM
PRAHALADAPURAM (NEAR VARAHALAKSHMI SIMHA SWAMY ASHRAM),PRAHALADAPURAM
PUNJAB HOTEL,PUNJAB HOTEL
PURNA MARKET,PURNA MARKET
PURNA MARKET (NEAR MUNICIPAL STADIUM),PURNA MARKET (NEAR MUNICIPAL STADIUM)
PURNA THEATRE,PURNA THEATRE
PURNA THEATRE,CHODAVARAM
PURNA THEATRE (KURMANNAPALEM),KURMANNAPALEM BUS STATION
PURUSHOTHAPURAM,PURUSHOTHAPURAM
PURUSHOTTAPURAM (PURUSHOTTAM),PURUSHOTTAPURAM (PURUSHOTTAM)
